n   	r1  	r2  	y   	hy  	ec  	qs02 	c2  	g   
399	3e-06	60.0	8.0	0.1	1.0	0.10965029546	5.5878998533	1.0
0.0	2.9999999999999997e-06	3.488542787977167e-12
0.0	3.1291009577556375e-06	3.7838621125274585e-12
0.0	3.2637576012757556e-06	4.104272477434279e-12
0.0	3.4042090120114036e-06	4.451772284141953e-12
0.0	3.550704559961752e-06	4.828581978699731e-12
0.0	3.703504346427883e-06	5.237255074064251e-12
0.0	3.862879665819886e-06	5.6804561054946134e-12
0.0	4.029113487337261e-06	6.161071652854844e-12
0.0	4.202500957377734e-06	6.682432385218817e-12
0.0	4.3833499235665515e-06	7.247757949357947e-12
0.0	4.5719814813367325e-06	7.860823103555958e-12
0.0	4.768730544030612e-06	8.525624650701502e-12
0.0	4.973946437534918e-06	9.246603482893079e-12
0.0	5.187993520505251e-06	1.0028533559136577e-11
0.0	5.411251831281018e-06	1.0876410883042809e-11
0.0	5.644117762639461e-06	1.17957865697349e-11
0.0	5.887004765586915e-06	1.2792877868150754e-11
0.0	6.140344083436685e-06	1.3874124071833194e-11
0.0	6.404585517476965e-06	1.504651958583736e-11
0.0	6.680198225588353e-06	1.6317835971335626e-11
0.0	6.967671555228688e-06	1.7696399901012683e-11
0.0	7.267515912264268e-06	1.9191204181367993e-11
0.0	7.580263667190167e-06	2.0812129797320722e-11
0.0	7.906470100348338e-06	2.2569723867604807e-11
0.0	8.2467143878221e-06	2.447553271167635e-11
0.0	8.601600629757127e-06	2.6541990827411155e-11
0.0	8.97175892293484e-06	2.8782531913407183e-11
0.0	9.3578464795027e-06	3.121192193589195e-11
0.0	9.760548793847392e-06	3.38460370841176e-11
0.0	1.0180580859682836e-05	3.670197479266335e-11
0.0	1.0618688439514093e-05	3.9798608852947837e-11
0.0	1.1075649388730775e-05	4.315603430171677e-11
0.0	1.1552275036681039e-05	4.679612253255527e-11
0.0	1.2049411627178395e-05	5.074263231819032e-11
0.0	1.2567941820998635e-05	5.502154287739813e-11
0.0	1.3108786263034654e-05	5.966049876349189e-11
0.0	1.3672905216891896e-05	6.468980906504385e-11
0.0	1.4261300269826188e-05	7.014244740588538e-11
0.0	1.4875016111051287e-05	7.605371887819956e-11
0.0	1.551514238657371e-05	8.246225924324335e-11
0.0	1.6182815633847658e-05	8.940981288674266e-11
0.0	1.6879221299685207e-05	9.694156588579972e-11
0.0	1.760559584500481e-05	1.0510670112040543e-10
